season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,cnt_7,cnt_1
1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,16,,
1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,40,,
1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,32,,
1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,13,,
1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,1,,
1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,1,,
1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,,
1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,3,,
1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,8,,
1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,14,,
1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,36,,
1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,56,,
1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,84,,
1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,94,,
1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,106,,
1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,110,,
1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,93,,
1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,67,,
1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,35,,
1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,37,,
1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,36,,
1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,34,,
1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,28,,
1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,39,,
1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,17,,16.0
1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,17,,40.0
1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,9,,32.0
1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,6,,13.0
1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,3,,1.0
1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,2,,2.0
1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,1,,3.0
1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,8,,8.0
1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,20,,14.0
1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,53,,36.0
1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,70,,56.0
1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,93,,84.0
1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,75,,94.0
1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,59,,106.0
1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,74,,110.0
1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,76,,93.0
1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,65,,67.0
1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,53,,35.0
1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,30,,37.0
1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,22,,36.0
1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,31,,34.0
1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,9,,28.0
1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,8,,39.0
1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,5,,17.0
1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,2,,17.0
1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,1,,3.0
1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,3,,
1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,30,,2.0
1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,64,,1.0
1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,154,,8.0
1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,88,,20.0
1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,44,,53.0
1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,51,,70.0
1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,61,,93.0
1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,61,,75.0
1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,77,,59.0
1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,72,,74.0
1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,76,,76.0
1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,157,,65.0
1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,157,,53.0
1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,110,,30.0
1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,52,,22.0
1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,52,,31.0
1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,20,,9.0
1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,12,,8.0
1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,5,,5.0
1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,2,,2.0
1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,1,,
1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,2,,1.0
1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,4,,3.0
1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,36,,30.0
1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,94,,64.0
1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,179,,154.0
1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,100,,88.0
1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,42,,44.0
1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,57,,51.0
1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,78,,61.0
1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,97,,61.0
1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,63,,77.0
1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,65,,72.0
1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,83,,76.0
1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,212,,157.0
1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,182,,157.0
1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,112,,110.0
1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,54,,52.0
1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,48,,52.0
1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,35,,20.0
1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,11,,12.0
1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,6,,5.0
1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,6,,2.0
1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,2,,1.0
1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,2,,2.0
1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,3,,4.0
1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,33,,36.0
1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,88,,94.0
1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,195,,179.0
1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,115,,100.0
1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,57,,42.0
1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,46,,57.0
1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,79,,78.0
1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,71,,97.0
1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,62,,63.0
1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,62,,65.0
1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,89,,83.0
1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,190,,212.0
1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,169,,182.0
1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,132,,112.0
1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,89,,54.0
1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,43,,48.0
1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,42,,35.0
1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,19,,11.0
1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,11,,6.0
1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,4,,6.0
1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,2,,2.0
1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,1,,2.0
1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,4,,3.0
1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,36,,33.0
1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,95,,88.0
1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,219,,195.0
1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,122,,115.0
1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,45,,57.0
1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,59,,46.0
1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,84,,79.0
1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,67,,71.0
1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,70,,62.0
1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,62,,62.0
1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,86,,89.0
1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,172,,190.0
1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,163,,169.0
1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,112,,132.0
1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,69,,89.0
1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,48,,43.0
1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,52,,42.0
1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,23,,19.0
1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,17,,11.0
1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,7,,4.0
1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,1,,2.0
